               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078662,             0.01337,                   0,           0.0015506,             0.97638,             0.11831,            0.027224,            0.049295,           0.0075941,                   0,            0.070127,           0.0033193,           0.0033193
                   1,            0.047297,           0.0095087,                   0,             0.56754,             0.37135,             0.49559,             0.19983,            0.040624,           0.0061458,                   0,            0.040061,           0.0065867,           0.0065867
                   2,            0.044656,           0.0068489,                   0,             0.42314,             0.63041,              0.4339,             0.19496,             0.03792,           0.0052904,                   0,           0.0099289,           0.0097882,           0.0097882
                   3,            0.042788,           0.0062334,                   0,             0.58143,              0.7547,             0.59234,             0.25764,            0.035325,           0.0046621,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.039726,           0.0054076,                   0,             0.59513,             0.77559,             0.62912,             0.31065,            0.033503,           0.0041042,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.037523,           0.0050795,                   0,             0.61853,             0.82579,             0.63528,              0.3461,            0.030459,           0.0037231,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.035581,            0.004676,                   0,             0.64462,             0.83169,             0.66894,             0.34789,            0.030012,           0.0035131,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035883,            0.004424,                   0,             0.63955,             0.84001,              0.6892,             0.38273,            0.029943,           0.0034648,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.034481,           0.0045884,                   0,             0.63758,             0.85827,             0.68925,             0.38417,            0.028242,           0.0032971,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.032875,           0.0042236,                   0,             0.62755,             0.85408,             0.69259,             0.37194,            0.029182,           0.0032268,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033995,           0.0042219,                   0,             0.62986,             0.84832,             0.69011,             0.37077,            0.029287,           0.0033216,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.03362,            0.004324,                   0,             0.65902,             0.85039,             0.68764,             0.36726,             0.02819,           0.0032253,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.031384,           0.0041793,                   0,             0.65722,             0.89448,             0.72103,             0.41816,            0.026041,           0.0030715,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.030777,           0.0039658,                   0,             0.64917,             0.89971,             0.70793,             0.40778,            0.027795,           0.0030605,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.031496,           0.0039269,                   0,             0.68302,             0.89286,             0.73939,             0.43278,            0.026077,           0.0030325,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030451,           0.0040747,                   0,             0.65571,             0.89715,             0.72538,             0.41938,            0.026596,           0.0030767,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.029992,           0.0039936,                   0,             0.65549,             0.89518,             0.73213,             0.42819,            0.025341,           0.0030286,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029219,           0.0038553,                   0,             0.66573,             0.91634,             0.74205,             0.43763,            0.024995,           0.0029588,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029764,           0.0038667,                   0,             0.67682,             0.89663,             0.73748,             0.42038,            0.025919,           0.0030004,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029045,           0.0038209,                   0,             0.64941,             0.90797,             0.73683,             0.43678,            0.024504,           0.0029796,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027919,           0.0038393,                   0,             0.68242,             0.90944,             0.75459,             0.44565,            0.024791,           0.0029124,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.028159,           0.0036473,                   0,             0.68912,              0.9229,             0.75797,             0.44601,            0.024553,           0.0028513,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.028258,           0.0037391,                   0,             0.67805,             0.90792,             0.76125,             0.46516,            0.023922,           0.0028125,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.028067,           0.0037152,                   0,             0.68982,             0.90354,             0.76311,             0.45681,            0.024262,           0.0028271,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.027512,           0.0036194,                   0,              0.6904,             0.91585,             0.76115,             0.46996,            0.023832,           0.0028426,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.02741,           0.0037468,                   0,             0.70114,             0.90551,             0.75844,             0.44289,             0.02385,           0.0028082,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.027934,           0.0037684,                   0,             0.70757,             0.89911,             0.76539,             0.47843,             0.02411,           0.0027694,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026979,           0.0034914,                   0,             0.71143,             0.90945,             0.76672,             0.47847,             0.02356,            0.002873,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026704,            0.003725,                   0,             0.71098,             0.90846,             0.76795,              0.4655,            0.023462,           0.0027884,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.026361,           0.0035496,                   0,             0.70841,             0.92126,             0.76663,             0.47563,            0.023185,           0.0027371,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.027147,           0.0035632,                   0,              0.7071,             0.92224,             0.75991,             0.47364,             0.02361,           0.0027703,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026527,           0.0035634,                   0,             0.71633,             0.91781,             0.76758,             0.48245,             0.02294,           0.0027098,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.026861,           0.0035703,                   0,             0.70936,             0.92005,             0.76623,             0.48009,            0.022852,           0.0027279,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.027666,           0.0035498,                   0,              0.7166,             0.93082,              0.7675,              0.4808,            0.022698,           0.0027445,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.02581,           0.0034744,                   0,             0.71009,             0.92453,              0.7633,             0.48453,            0.022705,            0.002681,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.026888,           0.0036755,                   0,             0.70882,             0.92372,             0.76575,             0.48733,            0.023265,           0.0026653,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.026512,           0.0036281,                   0,             0.70742,             0.92274,             0.77048,             0.49668,            0.022503,            0.002682,                   0,            0.006535,            0.006535,            0.006535
